fechaHora,fechaHora,ultimoPrecio
2020-07-28 17:00:45.177,2020-07-28T17:00:45.177,94.5
2020-07-27 17:00:50.817,2020-07-27T17:00:50.817,95.0
2020-07-24 17:00:48.330,2020-07-24T17:00:48.33,90.0
2020-07-23 17:01:38.860,2020-07-23T17:01:38.86,90.0
2020-07-22 17:00:48.560,2020-07-22T17:00:48.56,86.0
2020-07-21 17:00:36.000,2020-07-21T17:00:36,86.0
2020-07-20 17:00:44.260,2020-07-20T17:00:44.26,87.0
2020-07-17 17:00:38.397,2020-07-17T17:00:38.397,90.0
2020-07-16 17:00:40.487,2020-07-16T17:00:40.487,89.0
2020-07-15 17:00:47.087,2020-07-15T17:00:47.087,90.0
2020-07-14 17:00:43.250,2020-07-14T17:00:43.25,87.7
2020-07-13 17:00:47.613,2020-07-13T17:00:47.613,90.0
2020-07-08 17:00:35.997,2020-07-08T17:00:35.997,93.0
2020-07-07 17:00:47.780,2020-07-07T17:00:47.78,95.0
2020-07-06 17:00:41.243,2020-07-06T17:00:41.243,95.0
2020-07-03 17:00:35.987,2020-07-03T17:00:35.987,95.0
2020-07-02 17:00:46.020,2020-07-02T17:00:46.02,95.0
2020-07-01 17:00:36.783,2020-07-01T17:00:36.783,95.0
2020-06-30 17:00:44.633,2020-06-30T17:00:44.633,91.0
2020-06-29 17:00:41.197,2020-06-29T17:00:41.197,94.0
2020-06-26 17:00:40.500,2020-06-26T17:00:40.5,92.0
2020-06-25 17:00:38.363,2020-06-25T17:00:38.363,89.0
2020-06-24 17:00:42.743,2020-06-24T17:00:42.743,89.0
2020-06-23 17:00:35.173,2020-06-23T17:00:35.173,87.0
2020-06-22 17:00:40.673,2020-06-22T17:00:40.673,87.0
2020-06-19 17:00:40.563,2020-06-19T17:00:40.563,87.0
2020-06-18 17:00:31.030,2020-06-18T17:00:31.03,88.0
2020-06-17 17:00:47.457,2020-06-17T17:00:47.457,89.0
2020-06-16 17:00:39.640,2020-06-16T17:00:39.64,89.0
2020-06-12 17:00:38.370,2020-06-12T17:00:38.37,89.0
2020-06-11 17:00:48.780,2020-06-11T17:00:48.78,88.0
2020-06-10 17:00:40.733,2020-06-10T17:00:40.733,90.0
2020-06-09 17:00:42.330,2020-06-09T17:00:42.33,89.0
2020-06-08 17:00:42.440,2020-06-08T17:00:42.44,91.0
2020-06-05 17:00:46.373,2020-06-05T17:00:46.373,89.0
2020-06-04 17:00:45.817,2020-06-04T17:00:45.817,84.5
2020-06-03 17:00:47.933,2020-06-03T17:00:47.933,85.0
2020-06-02 17:00:45.903,2020-06-02T17:00:45.903,85.5
2020-06-01 12:00:03.363,2020-06-01T12:00:03.363,73.0
2020-05-29 12:00:03.387,2020-05-29T12:00:03.387,72.8
2020-05-28 17:00:39.853,2020-05-28T17:00:39.853,72.0
2020-05-27 17:00:41.150,2020-05-27T17:00:41.15,72.9
2020-05-26 17:00:35.393,2020-05-26T17:00:35.393,68.0
2020-05-22 17:00:41.237,2020-05-22T17:00:41.237,64.0
2020-05-21 17:00:42.827,2020-05-21T17:00:42.827,66.0
2020-05-20 17:00:41.203,2020-05-20T17:00:41.203,67.7
2020-05-19 17:00:35.580,2020-05-19T17:00:35.58,68.5
2020-05-18 17:00:44.990,2020-05-18T17:00:44.99,69.0
2020-05-15 15:30:22.363,2020-05-15T15:30:22.363,69.0
2020-05-14 03:00:01.157,2020-05-14T03:00:01.157,69.0
2020-05-13 17:00:41.913,2020-05-13T17:00:41.913,69.0
2020-05-12 15:30:03.923,2020-05-12T15:30:03.923,70.0
2020-05-11 17:00:34.753,2020-05-11T17:00:34.753,70.0
2020-05-08 17:00:36.993,2020-05-08T17:00:36.993,68.0
2020-05-07 17:00:39.907,2020-05-07T17:00:39.907,60.0
2020-05-06 17:00:50.053,2020-05-06T17:00:50.053,64.0
2020-05-05 17:00:46.300,2020-05-05T17:00:46.3,64.0
2020-05-04 17:00:51.843,2020-05-04T17:00:51.843,65.0
2020-04-30 17:00:48.307,2020-04-30T17:00:48.307,65.0
2020-04-29 17:00:37.810,2020-04-29T17:00:37.81,65.0
2020-04-28 17:00:36.390,2020-04-28T17:00:36.39,63.0
2020-04-27 17:00:35.450,2020-04-27T17:00:35.45,63.5
2020-04-24 17:00:36.247,2020-04-24T17:00:36.247,61.0
2020-04-23 17:00:46.753,2020-04-23T17:00:46.753,60.5
2020-04-22 17:00:38.367,2020-04-22T17:00:38.367,60.0
2020-04-21 17:00:37.093,2020-04-21T17:00:37.093,62.5
2020-04-20 17:00:39.940,2020-04-20T17:00:39.94,62.0
2020-04-17 17:00:43.903,2020-04-17T17:00:43.903,62.0
2020-04-16 17:00:43.483,2020-04-16T17:00:43.483,60.0
2020-04-15 03:00:04.700,2020-04-15T03:00:04.7,51.0
2020-04-14 17:00:36.680,2020-04-14T17:00:36.68,51.0
2020-04-13 17:00:40.887,2020-04-13T17:00:40.887,46.5
2020-04-08 17:00:47.807,2020-04-08T17:00:47.807,42.8
2020-04-07 17:00:46.737,2020-04-07T17:00:46.737,42.8
2020-04-06 17:00:47.767,2020-04-06T17:00:47.767,42.9
2020-04-03 17:00:46.530,2020-04-03T17:00:46.53,42.9
2020-04-02 17:00:45.157,2020-04-02T17:00:45.157,42.9
2020-04-01 17:00:40.300,2020-04-01T17:00:40.3,43.0
2020-03-30 17:00:44.980,2020-03-30T17:00:44.98,43.0
2020-03-27 17:00:45.123,2020-03-27T17:00:45.123,43.0
2020-03-19 17:00:35.817,2020-03-19T17:00:35.817,43.0
2020-03-18 17:00:45.227,2020-03-18T17:00:45.227,43.0
2020-03-17 17:00:41.333,2020-03-17T17:00:41.333,44.0
2020-03-16 17:00:42.163,2020-03-16T17:00:42.163,44.0
2020-03-13 17:00:42.643,2020-03-13T17:00:42.643,44.0
2020-03-12 17:00:40.417,2020-03-12T17:00:40.417,48.0
2020-03-11 17:00:41.947,2020-03-11T17:00:41.947,48.0
2020-03-10 17:00:42.350,2020-03-10T17:00:42.35,48.0
2020-03-09 17:00:45.350,2020-03-09T17:00:45.35,44.7
2020-03-06 17:00:41.450,2020-03-06T17:00:41.45,50.0
2020-03-05 17:00:41.457,2020-03-05T17:00:41.457,50.0
2020-03-04 17:00:42.533,2020-03-04T17:00:42.533,50.5
